ชื่อย่อ,Company Name,ชื่อบริษัท,กลุ่มอุตสาหกรรม,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
BGRIM,B.GRIMM POWER PUBLIC COMPANY LIMITED,บริษัท บี.กริม เพาเวอร์ จำกัด (มหาชน),Resources,AAA,AAA,Yes,Yes,Yes,Yes,Yes,,,
BJC,BERLI JUCKER PUBLIC COMPANY LIMITED,บริษัท เบอร์ลี่ ยุคเกอร์ จำกัด (มหาชน),Services,AA,AA,Yes,Yes,Yes,,,,,
BKIH,BKI HOLDINGS PUBLIC COMPANY LIMITED,บริษัท บีเคไอ โฮลดิ้งส์ จำกัด (มหาชน),Financials,AAA,AAA,Yes,,,,,,,
BLA,BANGKOK LIFE ASSURANCE PUBLIC COMPANY LIMITED,บริษัท กรุงเทพประกันชีวิต จำกัด (มหาชน),Financials,AA,AA,Yes,Yes,,,,,,
BLC,BANGKOK LAB AND COSMETIC PUBLIC COMPANY LIMITED,บริษัท บางกอกแล็ป แอนด์ คอสเมติค จำกัด (มหาชน),Consumer Products,BBB,,,,,,,,,
BPP,BANPU POWER PUBLIC COMPANY LIMITED,บริษัท บ้านปู เพาเวอร์ จำกัด (มหาชน),Resources,AAA,AAA,Yes,Yes,Yes,Yes,Yes,,,
BRI,BRITANIA PUBLIC COMPANY LIMITED,บริษัท บริทาเนีย จำกัด (มหาชน),Property & Construction,AA,AA,,,,,,,,
BRR,BURIRAM SUGAR PUBLIC COMPANY LIMITED,บริษัท น้ำตาลบุรีรัมย์ จำกัด (มหาชน),Agro & Food Industry,,,,,Yes,,,,,
BTG,BETAGRO PUBLIC COMPANY LIMITED,บริษัท เบทาโกร จำกัด (มหาชน),Agro & Food Industry,AAA,,,,,,,,,
BTS,BTS GROUP HOLDINGS PUBLIC COMPANY LIMITED,บริษัท บีทีเอส กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),Services,AA,AA,Yes,Yes,Yes,Yes,,,,
BWG,BETTER WORLD GREEN PUBLIC COMPANY LIMITED,บริษัท เบตเตอร์ เวิลด์ กรีน จำกัด (มหาชน),Services,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CBG,CARABAO GROUP PUBLIC COMPANY LIMITED,บริษัท คาราบาวกรุ๊ป จำกัด (มหาชน),Agro & Food Industry,AA,A,Yes,,,,,,,
CENTEL,CENTRAL PLAZA HOTEL PUBLIC COMPANY LIMITED,บริษัท โรงแรมเซ็นทรัลพลาซา จำกัด (มหาชน),Services,AAA,A,Yes,Yes,Yes,Yes,Yes,,,
CFRESH,SEAFRESH INDUSTRY PUBLIC COMPANY LIMITED,บริษัท ซีเฟรชอินดัสตรี จำกัด (มหาชน),Agro & Food Industry,A,A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CHASE,CHASE ASIA PUBLIC COMPANY LIMITED,บริษัท เชฎฐ์ เอเชีย จำกัด (มหาชน),Financials,A,,,,,,,,,
